City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,puerto leguizamo,-0.1934,-74.7819,22.2,100,100,0.53,CO,1708156863
82,port douglas,-16.4833,145.4667,28.02,84,85,4.06,AU,1708156864
83,tutoia,-2.7619,-42.2744,26.04,89,100,3.37,BR,1708156865
84,sao miguel do araguaia,-13.275,-50.1628,21.75,92,97,1.89,BR,1708156865
85,port elizabeth,-33.918,25.5701,24.5,51,20,10.29,ZA,1708156810
86,ranau,5.9538,116.6641,26.97,71,78,2.08,MY,1708156867
87,wailua homesteads,22.0669,-159.378,20.24,66,75,5.14,US,1708156289
88,rikaze,29.25,88.8833,8.12,7,13,4.19,CN,1708156612
89,aasiaat,68.7098,-52.8699,-16.22,90,100,1.71,GL,1708156868
90,cudillero,43.5622,-6.1459,10.37,80,0,2.57,ES,1708156869
91,maragogi,-9.0122,-35.2225,26.52,84,95,2.91,BR,1708156607
92,huittinen,61.1833,22.7,-1.41,94,100,6.21,FI,1708156871
93,port mathurin,-19.6833,63.4167,26.71,74,90,12.0,MU,1708156868
94,bintulu,3.1667,113.0333,31.23,70,40,3.13,MY,1708156872
95,martuk,50.7475,56.5056,-13.3,75,100,4.84,KZ,1708156873
96,santa clara de valladares,19.6382,-102.4904,13.08,91,100,2.52,MX,1708156873
97,sinabang,2.4803,96.3801,29.7,71,100,0.7,ID,1708156874
98,geraldton,-28.7667,114.6,31.23,42,8,10.29,AU,1708156512
99,ubinskoye,55.3068,79.6802,-17.92,85,100,4.03,RU,1708156875
100,badger,64.8,-147.5333,-12.86,81,0,0.0,US,1708156226
101,luau,-10.7073,22.2247,25.44,68,76,1.74,AO,1708156711
102,mount isa,-20.7333,139.5,26.87,83,100,5.14,AU,1708156877
103,bukama,-9.2,25.85,26.63,79,99,0.25,CD,1708156878
104,afaahiti,-17.75,-149.2833,26.93,76,100,8.01,PF,1708156879
105,al ghayzah,16.2079,52.176,26.4,61,63,4.13,YE,1708156454
106,jember,-8.166,113.7032,29.33,80,91,1.94,ID,1708156881
107,gelinkaya,37.417,41.293,7.94,71,83,1.85,TR,1708156881
108,awjilah,29.1081,21.2869,14.04,56,75,0.4,LY,1708156882
109,flying fish cove,-10.4217,105.6791,28.04,73,71,2.26,CX,1708156709
110,hamilton,39.1834,-84.5333,-3.46,86,89,3.13,US,1708156883
111,iskateley,67.6803,53.1512,-21.66,88,53,4.02,RU,1708156634
112,jayapura,-2.5333,140.7,30.66,74,44,2.51,ID,1708156884
113,al bayda',32.7627,21.7551,10.22,71,9,3.45,LY,1708156885
114,antsiranana,-12.2787,49.2917,26.42,94,75,4.12,MG,1708156885
115,port saint john's,-31.6229,29.5448,23.84,50,17,3.21,ZA,1708156477
116,vrangel',42.7297,133.0839,2.12,90,20,2.89,RU,1708156887
117,newman,37.3138,-121.0208,11.25,91,100,0.45,US,1708156507
118,anadyr,64.75,177.4833,-23.72,77,20,4.0,RU,1708156888
119,corner brook,48.9667,-57.9484,-4.91,96,100,4.1,CA,1708156888
120,juneau,58.3019,-134.4197,-4.0,86,20,0.0,US,1708156318
121,ribeira grande,38.5167,-28.7,17.22,88,40,4.12,PT,1708156889
